,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,1.0,0.975,1.0,0.8955223880597015,0.8695652173913043,1.0,0.7441860465116279,0.7777777777777778,0.847457627118644,0.8571428571428571,0.9245283018867925,1.0,0.8842105263157894,0.9075983513240589,0.9016294779103416
recall,0.15384615384615385,1.0,0.5862068965517241,0.9836065573770492,0.9090909090909091,0.8541666666666666,0.9846153846153847,0.9545454545454546,0.9615384615384616,0.782608695652174,0.98,0.9736842105263158,0.8842105263157894,0.8436591158675245,0.8842105263157894
f1-score,0.2666666666666667,0.9873417721518987,0.7391304347826086,0.9375,0.888888888888889,0.9213483146067416,0.847682119205298,0.8571428571428572,0.9009009009009009,0.8181818181818182,0.9514563106796116,0.9866666666666666,0.8842105263157894,0.8419088958228297,0.8684839533693938
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.8842105263157894,475.0,475.0
