,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,24,0,0,0,1,0,1,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,1,27,0,0,0,0,0,0,0,1,0
Common Chickweed,0,0,0,60,1,0,0,0,0,0,0,0
Common wheat,0,0,0,0,17,4,0,1,0,0,0,0
Fat Hen,0,0,0,1,0,46,0,1,0,0,0,0
Loose Silky-bent,32,0,0,0,1,2,30,0,0,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,4,0,0,0,0,47,0,0,1
Shepherds Purse,0,0,0,12,0,0,0,0,1,10,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,1,0,0,0,37
