,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,15,0,0,0,0,0,11,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,3,25,0,0,0,0,0,1,0,0,0
Common Chickweed,0,0,0,59,0,0,1,0,1,0,0,0
Common wheat,2,0,0,0,18,2,0,0,0,0,0,0
Fat Hen,0,0,1,1,1,45,0,0,0,0,0,0
Loose Silky-bent,1,0,0,0,0,1,63,0,0,0,0,0
Maize,0,0,0,1,0,0,0,20,0,0,0,1
Scentless Mayweed,0,0,0,0,0,0,0,0,51,1,0,0
Shepherds Purse,0,1,0,0,0,0,0,0,0,22,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,0,0,1,0,0,0,0,0,0,37
