,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,11,0,0,0,0,0,15,0,0,0,0,0
Charlock,0,36,0,1,0,0,0,1,0,0,0,1
Cleavers,0,0,23,1,0,0,0,1,3,0,1,0
Common Chickweed,0,0,0,59,0,0,0,1,1,0,0,0
Common wheat,8,0,0,0,10,0,0,1,3,0,0,0
Fat Hen,0,0,0,0,1,44,0,1,1,1,0,0
Loose Silky-bent,3,0,0,0,0,0,61,1,0,0,0,0
Maize,0,0,0,2,0,0,0,18,0,0,0,2
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,3,20,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,0,0,0,0,38
