,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,20,0,0,0,4,0,2,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,1,28,0,0,0,0,0,0,0,0,0
Common Chickweed,1,0,0,49,0,0,0,0,0,10,0,1
Common wheat,0,0,0,0,22,0,0,0,0,0,0,0
Fat Hen,0,1,1,0,3,40,0,1,0,0,0,2
Loose Silky-bent,26,0,0,0,3,0,36,0,0,0,0,0
Maize,0,2,0,0,0,0,0,18,0,0,0,2
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,4,0,0,0,0,0,0,1,18,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,1,0,0,0,0,0,0,0,0,37
