,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,16,0,0,0,0,0,8,0,2,0,0,0
Charlock,0,19,0,3,0,0,0,0,1,0,13,3
Cleavers,0,0,2,7,0,0,0,0,0,0,18,2
Common Chickweed,1,0,0,32,0,0,0,0,9,0,13,6
Common wheat,7,0,0,0,2,2,2,0,9,0,0,0
Fat Hen,0,0,0,4,0,14,1,0,4,0,3,22
Loose Silky-bent,15,0,0,0,0,0,45,0,5,0,0,0
Maize,0,1,0,2,0,1,0,3,4,0,1,10
Scentless Mayweed,2,0,0,4,0,0,1,0,28,2,11,4
Shepherds Purse,0,0,0,1,0,0,0,0,8,0,14,0
Small-flowered Cranesbill,0,0,0,2,0,0,0,0,2,0,46,0
Sugar beet,0,0,0,0,0,0,0,0,1,0,0,37
