,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,9,0,0,0,0,0,17,0,0,0,0,0
Charlock,0,37,0,0,0,0,0,2,0,0,0,0
Cleavers,0,0,29,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,59,0,0,1,1,0,0,0,0
Common wheat,0,0,0,0,20,0,0,2,0,0,0,0
Fat Hen,0,0,0,0,0,45,0,3,0,0,0,0
Loose Silky-bent,1,0,0,0,0,0,59,1,4,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,5,0,0,0,0,47,0,0,0
Shepherds Purse,0,0,0,2,0,0,0,0,2,19,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,2,0,0,48,0
Sugar beet,0,0,0,1,0,2,0,3,0,0,0,32
