,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,24,0,0,0,0,0,1,1,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,26,0,0,0,0,0,2,0,1,0
Common Chickweed,1,0,0,56,0,0,0,0,0,3,0,1
Common wheat,0,0,0,0,18,0,0,4,0,0,0,0
Fat Hen,0,0,0,0,1,45,0,0,1,0,0,1
Loose Silky-bent,17,0,0,0,0,0,46,1,1,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,2,21,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,1,1,0,0,36
