,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.5217391304347826,0.9512195121951219,1.0,0.8333333333333334,0.9473684210526315,1.0,0.9387755102040817,0.7333333333333333,0.96,1.0,0.9074074074074074,1.0,0.8842105263157894,0.8994313873300577,0.9111206922744723
recall,0.9230769230769231,1.0,0.8620689655172413,0.9836065573770492,0.8181818181818182,0.8541666666666666,0.7076923076923077,1.0,0.9230769230769231,0.5217391304347826,0.98,0.9473684210526315,0.8842105263157894,0.876748142756362,0.8842105263157894
f1-score,0.6666666666666667,0.975,0.9259259259259259,0.9022556390977444,0.8780487804878049,0.9213483146067416,0.8070175438596492,0.846153846153846,0.9411764705882353,0.6857142857142856,0.9423076923076924,0.972972972972973,0.8842105263157894,0.872049011531797,0.8856043348181877
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.8842105263157894,475.0,475.0
