,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.9,1.0,1.0,0.8805970149253731,1.0,0.9574468085106383,0.7662337662337663,0.6111111111111112,0.8867924528301887,1.0,1.0,1.0,0.8968421052631579,0.9168484294675898,0.9124983400331946
recall,0.34615384615384615,0.9487179487179487,1.0,0.9672131147540983,0.9090909090909091,0.9375,0.9076923076923077,1.0,0.9038461538461539,0.8260869565217391,0.96,0.8421052631578947,0.8968421052631579,0.8790338749945746,0.8968421052631579
f1-score,0.5,0.9736842105263158,1.0,0.9218749999999999,0.9523809523809523,0.9473684210526315,0.8309859154929577,0.7586206896551725,0.8952380952380953,0.9047619047619047,0.9795918367346939,0.9142857142857143,0.8968421052631579,0.8815660616773698,0.8935204585144972
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.8968421052631579,475.0,475.0
