true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,13,0,0,0,1,0,12,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,1,28,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,60,0,0,1,0,0,0,0,0
Common wheat,0,0,0,0,20,1,0,1,0,0,0,0
Fat Hen,0,0,0,0,1,45,0,0,0,0,0,2
Loose Silky-bent,5,0,0,0,1,0,59,0,0,0,0,0
Maize,0,1,0,0,0,0,0,21,0,0,0,0
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,2,21,0,0
Small-flowered Cranesbill,0,1,0,0,0,0,0,0,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,0,0,0,0,38
