epoch,train_loss,train_acc,val_acc,val_f1
1,1.2627396150068804,0.7182765151515151,0.9200000008783843,0.8956447821858856
2,0.7797835740176114,0.912405303030303,0.9368421057650917,0.9241828538538543
3,0.7086672421657678,0.9448390151515151,0.9473684218055324,0.9329540614760767
4,0.6746351773088629,0.9571496212121212,0.9494736845869767,0.9399356797814784
5,0.6572374358321681,0.9611742424242424,0.9515789477448714,0.9442532942850845
6,0.6358855330582821,0.9701704545454546,0.9600000003764504,0.9517921874580342
7,0.6187265858505712,0.9794034090909091,0.9600000002509669,0.9530623779922385
8,0.6097832213748585,0.9765625,0.9621052635343451,0.9584296604397258
9,0.6013414697213606,0.982717803030303,0.9536842109027662,0.9458253604835397
10,0.5990708452282529,0.9848484848484849,0.9536842110282496,0.9406723530863897
11,0.5867738633444814,0.9857954545454546,0.9663157898501346,0.9604297121942609
12,0.5819680672703367,0.9886363636363636,0.9642105264412729,0.9606754558166849
13,0.5824102614865159,0.9867424242424242,0.9684210527570624,0.9641965094191445
14,0.5727233940904791,0.9910037878787878,0.9557894739351774,0.950347913876293
15,0.5715188149249915,0.9912405303030303,0.9621052634088617,0.9543660473620341
16,0.5675990093838085,0.9931344696969697,0.9515789477448714,0.9456669542388757
17,0.5661190152168274,0.9936079545454546,0.9578947372185557,0.9523722757700234
18,0.5598537018804839,0.9959753787878788,0.9578947369675888,0.9525394129107078
19,0.5583160754406091,0.9955018939393939,0.9557894739351774,0.9479080384360943
20,0.556321362654368,0.9955018939393939,0.9663157895991676,0.9612785992668811
21,0.557683679190549,0.9945549242424242,0.9600000002509669,0.9574004944191831
22,0.5555768211682638,0.9947916666666666,0.9642105264412729,0.9598881285233632
23,0.5562203707117023,0.9931344696969697,0.9621052634088617,0.9587455512493855
24,0.5554805939847772,0.9943181818181818,0.9663157895991676,0.9621583750032174
25,0.5520785721865568,0.9964488636363636,0.9684210527570624,0.9645244248875056
26,0.5509610663760792,0.9962121212121212,0.9621052632833782,0.9576496651323506
27,0.5504223108291626,0.9969223484848485,0.9642105264412729,0.9598792832487604
28,0.5518632621476145,0.9959753787878788,0.9621052632833782,0.9587024232577629
29,0.5509791825756882,0.9957386363636364,0.9600000001254835,0.9561633368390178
30,0.5502193461764943,0.9964488636363636,0.9600000001254835,0.9561633368390178
