,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,21,0,0,0,1,0,4,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,3,25,0,0,0,0,0,0,0,1,0
Common Chickweed,0,0,0,39,0,0,1,0,7,12,0,2
Common wheat,1,1,0,0,19,0,0,1,0,0,0,0
Fat Hen,0,1,0,2,2,37,0,0,2,0,0,4
Loose Silky-bent,22,0,0,0,3,0,40,0,0,0,0,0
Maize,0,2,0,0,1,0,0,18,0,0,1,0
Scentless Mayweed,1,0,0,0,0,0,0,0,48,3,0,0
Shepherds Purse,0,1,0,0,0,0,0,0,0,21,1,0
Small-flowered Cranesbill,0,2,0,0,0,0,0,0,0,0,48,0
Sugar beet,0,1,1,0,0,0,0,0,1,0,0,35
