,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,25,0,0,0,1,0,0,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,29,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,58,0,0,1,0,0,0,0,2
Common wheat,0,0,0,0,22,0,0,0,0,0,0,0
Fat Hen,0,0,0,0,8,39,0,0,0,0,0,1
Loose Silky-bent,33,0,0,0,0,0,32,0,0,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,1,0,1,0,0,0,0,0,47,2,0,1
Shepherds Purse,0,0,0,1,0,0,0,0,0,22,0,0
Small-flowered Cranesbill,0,1,8,0,0,0,0,1,0,0,40,0
Sugar beet,1,0,0,0,5,0,0,0,0,0,0,32
