,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,20,0,0,0,0,0,6,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,28,0,0,0,0,0,0,0,1,0
Common Chickweed,0,0,0,59,0,0,1,0,1,0,0,0
Common wheat,2,0,0,0,17,1,1,1,0,0,0,0
Fat Hen,0,0,0,0,0,47,0,0,0,0,0,1
Loose Silky-bent,29,0,0,0,0,0,36,0,0,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,0,23,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,0,0,49,1
Sugar beet,1,0,0,0,0,0,0,1,0,0,0,36
