,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.38461538461538464,0.7916666666666666,1.0,0.9565217391304348,0.7407407407407407,0.7636363636363637,0.9142857142857143,0.6111111111111112,0.9259259259259259,0.75,1.0,0.8974358974358975,0.8042105263157895,0.8113282952956866,0.8495734651821608
recall,0.7692307692307693,0.9743589743589743,0.7241379310344828,0.7213114754098361,0.9090909090909091,0.875,0.49230769230769234,1.0,0.9615384615384616,0.5217391304347826,0.92,0.9210526315789473,0.8042105263157895,0.8158139979154045,0.8042105263157895
f1-score,0.5128205128205128,0.8735632183908045,0.8400000000000001,0.822429906542056,0.8163265306122449,0.8155339805825242,0.64,0.7586206896551725,0.9433962264150944,0.6153846153846153,0.9583333333333334,0.9090909090909091,0.8042105263157895,0.792124993568939,0.8063106614800775
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.8042105263157895,475.0,475.0
