,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,16,1,0,0,3,0,6,0,0,0,0,0
Charlock,0,38,0,0,0,0,0,1,0,0,0,0
Cleavers,0,2,27,0,0,0,0,0,0,0,0,0
Common Chickweed,0,1,0,58,0,0,1,0,1,0,0,0
Common wheat,0,0,0,0,20,0,0,1,1,0,0,0
Fat Hen,0,0,0,0,0,47,0,1,0,0,0,0
Loose Silky-bent,14,1,0,0,0,0,49,1,0,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,8,1,1,0,0,0,0,42,0,0,0
Shepherds Purse,0,1,0,5,0,0,0,0,1,16,0,0
Small-flowered Cranesbill,0,1,0,0,0,0,0,0,0,0,49,0
Sugar beet,0,0,0,0,1,0,0,1,0,0,0,36
