,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,26,0,0,0,0,0
Charlock,0,33,0,0,0,0,0,0,6,0,0,0
Cleavers,0,0,24,0,0,0,0,0,5,0,0,0
Common Chickweed,0,0,0,59,0,0,1,0,1,0,0,0
Common wheat,3,0,0,0,14,0,3,0,1,0,0,1
Fat Hen,0,0,0,3,1,40,0,0,3,1,0,0
Loose Silky-bent,0,0,0,0,0,0,64,0,1,0,0,0
Maize,0,0,1,0,1,0,0,13,0,0,0,7
Scentless Mayweed,0,0,0,1,0,0,1,0,50,0,0,0
Shepherds Purse,0,0,0,1,0,0,0,0,8,14,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,1,4,45,0
Sugar beet,0,0,0,1,0,0,3,0,1,0,0,33
