,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,4,0,0,0,2,0,20,0,0,0,0,0
Charlock,0,37,0,0,1,0,0,0,1,0,0,0
Cleavers,0,0,26,0,2,1,0,0,0,0,0,0
Common Chickweed,0,0,0,44,0,14,1,0,2,0,0,0
Common wheat,0,0,0,0,21,0,1,0,0,0,0,0
Fat Hen,0,0,1,0,6,41,0,0,0,0,0,0
Loose Silky-bent,0,0,0,0,2,0,63,0,0,0,0,0
Maize,0,0,0,0,5,1,0,16,0,0,0,0
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,0,1,1,0,2,0,0,7,12,0,0
Small-flowered Cranesbill,0,0,0,0,1,0,0,0,0,0,49,0
Sugar beet,0,0,0,0,3,2,0,0,0,0,0,33
