,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,5,0,0,0,0,0,21,0,0,0,0,0
Charlock,0,38,1,0,0,0,0,0,0,0,0,0
Cleavers,0,0,29,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,55,0,0,1,0,0,5,0,0
Common wheat,0,0,0,0,19,0,2,0,0,0,0,1
Fat Hen,0,0,0,0,1,46,0,0,0,0,0,1
Loose Silky-bent,3,0,0,0,0,0,61,1,0,0,0,0
Maize,0,0,0,0,0,0,0,21,0,0,0,1
Scentless Mayweed,0,0,0,0,0,0,0,0,51,1,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,0,23,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,1,0,49,0
Sugar beet,0,0,0,0,0,0,0,2,0,0,0,36
