,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,15,0,0,0,0,0,11,0,0,0,0,0
Charlock,0,36,0,0,0,0,0,0,0,3,0,0
Cleavers,0,0,6,0,0,0,0,0,3,9,11,0
Common Chickweed,0,0,0,60,0,0,1,0,0,0,0,0
Common wheat,0,0,0,1,18,1,0,1,1,0,0,0
Fat Hen,0,0,0,0,0,48,0,0,0,0,0,0
Loose Silky-bent,4,0,0,0,0,0,61,0,0,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,0,0,0,0,0,47,5,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,0,23,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,0,1,49,0
Sugar beet,0,0,0,0,1,0,0,1,0,0,0,36
