,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.5454545454545454,1.0,1.0,1.0,0.8148148148148148,1.0,0.9074074074074074,1.0,0.9629629629629629,1.0,1.0,0.95,0.9389473684210526,0.9317199775533109,0.9458174729753678
recall,0.6923076923076923,1.0,1.0,0.9836065573770492,1.0,0.9791666666666666,0.7538461538461538,1.0,1.0,0.9130434782608695,0.98,1.0,0.9389473684210526,0.9418308790382026,0.9389473684210526
f1-score,0.6101694915254238,1.0,1.0,0.9917355371900827,0.8979591836734693,0.9894736842105264,0.8235294117647058,1.0,0.9811320754716981,0.9545454545454545,0.98989898989899,0.9743589743589743,0.9389473684210526,0.9344002335532772,0.9402811138853636
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.9389473684210526,475.0,475.0
