,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,22,0,0,0,0,0,4,0,0,0,0,0
Charlock,0,37,0,0,0,0,0,2,0,0,0,0
Cleavers,0,0,29,0,0,0,0,0,0,0,0,0
Common Chickweed,2,6,1,10,0,36,0,4,1,1,0,0
Common wheat,5,0,0,0,12,0,2,3,0,0,0,0
Fat Hen,6,0,1,0,1,40,0,0,0,0,0,0
Loose Silky-bent,29,0,0,0,0,0,36,0,0,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,3,4,16,0,0,0,4,0,25,0,0,0
Shepherds Purse,0,4,4,0,0,7,0,0,2,5,1,0
Small-flowered Cranesbill,0,6,11,0,0,0,0,1,0,0,32,0
Sugar beet,1,0,1,0,0,0,0,1,0,0,0,35
