,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,17,0,0,0,1,0,8,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,18,0,0,0,0,0,6,2,0,3
Common Chickweed,0,0,0,60,1,0,0,0,0,0,0,0
Common wheat,0,0,0,0,20,0,0,1,0,0,0,1
Fat Hen,0,0,0,0,2,45,0,0,0,0,0,1
Loose Silky-bent,7,0,0,0,5,0,52,1,0,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,1,22,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,0,0,49,1
Sugar beet,1,0,0,0,0,0,0,7,0,0,0,30
