,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.6666666666666666,0.975,1.0,1.0,0.88,1.0,0.9310344827586207,1.0,1.0,0.9583333333333334,1.0,0.926829268292683,0.9515789473684211,0.9448219792542755,0.9568352706830154
recall,0.8461538461538461,1.0,1.0,0.9836065573770492,1.0,0.9375,0.8307692307692308,0.9090909090909091,0.9807692307692307,1.0,0.98,1.0,0.9515789473684211,0.9556574811800221,0.9515789473684211
f1-score,0.7457627118644068,0.9873417721518987,1.0,0.9917355371900827,0.9361702127659575,0.967741935483871,0.8780487804878049,0.9523809523809523,0.9902912621359222,0.9787234042553191,0.98989898989899,0.9620253164556963,0.9515789473684211,0.9483434062559084,0.9526792254912949
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.9515789473684211,475.0,475.0
