,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,23,0,0,0,0,0,3,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,25,0,0,0,0,0,0,4,0,0
Common Chickweed,0,0,0,54,0,0,1,0,4,2,0,0
Common wheat,1,0,0,0,17,1,0,1,2,0,0,0
Fat Hen,0,3,1,6,0,33,0,0,1,4,0,0
Loose Silky-bent,21,0,0,0,0,0,44,0,0,0,0,0
Maize,0,1,0,1,0,0,0,20,0,0,0,0
Scentless Mayweed,0,0,1,0,0,0,0,0,51,0,0,0
Shepherds Purse,0,0,0,1,0,0,0,0,4,18,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,0,0,50,0
Sugar beet,0,0,1,2,0,0,0,1,0,0,0,34
