,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,4,0,0,0,0,1,21,0,0,0,0,0
Charlock,0,32,7,0,0,0,0,0,0,0,0,0
Cleavers,0,0,29,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,1,59,0,0,1,0,0,0,0,0
Common wheat,2,0,0,0,16,3,1,0,0,0,0,0
Fat Hen,0,0,1,0,0,47,0,0,0,0,0,0
Loose Silky-bent,0,0,0,0,0,0,65,0,0,0,0,0
Maize,0,0,1,0,0,0,0,20,0,0,0,1
Scentless Mayweed,0,0,14,2,0,1,0,0,35,0,0,0
Shepherds Purse,0,0,8,1,0,0,0,0,0,14,0,0
Small-flowered Cranesbill,0,0,13,0,0,0,0,0,0,0,37,0
Sugar beet,0,0,2,0,0,3,0,0,0,0,0,33
