,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,19,0,0,0,1,0,6,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,29,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,1,51,0,0,1,0,1,7,0,0
Common wheat,1,0,0,0,21,0,0,0,0,0,0,0
Fat Hen,0,0,1,0,1,46,0,0,0,0,0,0
Loose Silky-bent,15,0,0,0,1,1,48,0,0,0,0,0
Maize,0,0,0,0,0,0,0,21,0,0,0,1
Scentless Mayweed,0,0,2,0,0,0,0,0,49,1,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,0,21,2,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,2,0,4,0,1,0,0,0,0,0,0,31
