epoch,train_loss,train_acc,val_acc,val_f1
1,7.856069680010335,0.018409037696089908,0.0296183563568251,0.012663979906538279
2,5.797253464938103,0.1450772652774526,0.1059470849918052,0.06898996257900795
3,4.03489100799132,0.34909857176305314,0.187895106532428,0.14623485749938311
4,2.7163893042432234,0.5530320767970031,0.25380472957152894,0.21727846943623585
5,1.7690817200289237,0.7065675485834699,0.2992273472254741,0.26600316089277204
6,1.1597734121570873,0.8074221493795364,0.3129243736829782,0.28042911152046635
7,0.7575473706150769,0.8773121048934676,0.32287520487005383,0.29336742668101906
8,0.5011895258774918,0.9217689065792555,0.32650433153828146,0.29934959873498856
9,0.33977680511019204,0.9487532193865605,0.3295481151955046,0.30175726807077774
10,0.25524987955664874,0.9609283540154531,0.3336455162725357,0.30708642407307823
11,0.19941879761464587,0.9697963006321705,0.3314212128307188,0.302121732487262
12,0.17033227257542172,0.9736010302036994,0.31830952938421914,0.2892113905945217
13,0.14323149537074656,0.9775228283774292,0.3254507141184734,0.29651196375471905
14,0.12932057095489252,0.9795129946148443,0.31046593303675957,0.28421745746521593
15,0.1251614707476749,0.9787227815499883,0.31866073519082183,0.2875487815080416
16,0.11344814569469583,0.9800690704752986,0.3111683446499649,0.2846187649284422
17,0.11182024681152364,0.979073987356591,0.3135097166939827,0.2847467818867923
18,0.10980981068636818,0.9793959260126434,0.3037930227113088,0.2796643940397821
19,0.10398105872718248,0.9793666588620932,0.2967689065792554,0.2701741183946032
20,0.10174656970851989,0.9785764457972371,0.30742214937953644,0.2801976485340348
21,0.08912248019659229,0.9815031608522594,0.2948958089440412,0.2649248781442447
22,0.08887551834785871,0.9823519082182158,0.3015687192694919,0.27541665668946785
23,0.0859005300237445,0.9827031140248186,0.2925544369000234,0.2642101170636642
24,0.07883284003770306,0.983551861390775,0.29583235776164835,0.26755019932640545
25,0.07894237189857142,0.9831128541325217,0.2881058300163896,0.2618890080239028
26,0.08640864126607496,0.9814446265511589,0.2870522125965816,0.2636809136104404
27,0.07913100977571269,0.981971435261063,0.28400842893935846,0.256422098192933
28,0.0729781309463614,0.9842542730039804,0.2810817138843362,0.2517277738615393
29,0.07295493973063284,0.9836689299929758,0.2835401545305549,0.25713354683930945
30,0.07284583066579665,0.9828494497775696,0.26750175602903303,0.24086921799992092
