,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,26,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,22,4,0,3,0,0,0,0,0,0,0
Common Chickweed,0,1,0,19,1,0,4,2,1,0,25,8
Common wheat,0,0,1,0,3,0,16,0,1,0,0,1
Fat Hen,0,7,0,4,6,0,16,0,0,0,9,6
Loose Silky-bent,0,1,0,0,1,0,63,0,0,0,0,0
Maize,0,6,0,0,0,0,0,3,0,0,11,2
Scentless Mayweed,0,12,0,2,3,0,7,1,0,0,22,5
Shepherds Purse,0,12,0,1,0,0,0,0,0,0,10,0
Small-flowered Cranesbill,0,19,0,1,0,0,0,0,0,0,29,1
Sugar beet,0,0,0,1,3,0,17,0,0,0,8,9
