,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.22321428571428573,0.29411764705882354,0.2608695652173913,0.6825396825396826,0.2,0.25,0.0,0.6666666666666666,0.0,0.3333333333333333,0.42857142857142855,0.25925925925925924,0.33263157894736844,0.2998809890300726,0.2873432722186256
recall,0.9615384615384616,0.8974358974358975,0.41379310344827586,0.7049180327868853,0.045454545454545456,0.2708333333333333,0.0,0.09090909090909091,0.0,0.08695652173913043,0.36,0.18421052631578946,0.33263157894736844,0.3346707927467842,0.33263157894736844
f1-score,0.36231884057971014,0.44303797468354433,0.32,0.6935483870967742,0.07407407407407407,0.26,0.0,0.16,0.0,0.13793103448275862,0.391304347826087,0.2153846153846154,0.33263157894736844,0.2547999395106303,0.26702547090376155
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.33263157894736844,475.0,475.0
