,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,24,0,2,0,0,0,0,0
Charlock,0,25,0,0,0,0,0,9,0,0,5,0
Cleavers,0,15,0,7,0,0,0,1,0,0,6,0
Common Chickweed,0,0,0,32,1,0,0,5,0,0,23,0
Common wheat,0,0,0,9,11,0,0,0,0,0,0,2
Fat Hen,0,2,0,21,3,0,0,1,0,0,13,8
Loose Silky-bent,0,1,0,3,39,0,21,0,0,0,0,1
Maize,0,1,0,3,0,0,0,10,0,0,8,0
Scentless Mayweed,0,3,0,15,2,0,0,7,0,0,24,1
Shepherds Purse,0,1,0,1,0,0,0,8,0,0,13,0
Small-flowered Cranesbill,0,3,0,3,0,0,0,11,0,0,33,0
Sugar beet,0,0,0,32,0,0,0,0,0,0,6,0
