,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,4,0,22,0,0,0,0,0
Charlock,0,34,5,0,0,0,0,0,0,0,0,0
Cleavers,0,15,14,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,56,0,0,1,1,0,0,1,2
Common wheat,0,0,1,0,9,1,4,0,2,0,1,4
Fat Hen,0,5,5,12,2,3,4,1,1,1,4,10
Loose Silky-bent,0,0,0,0,0,1,60,0,0,0,1,3
Maize,0,2,0,2,0,0,0,14,2,0,2,0
Scentless Mayweed,0,12,0,4,0,0,4,9,10,1,4,8
Shepherds Purse,0,1,0,4,0,0,0,4,3,0,11,0
Small-flowered Cranesbill,0,7,0,0,0,0,0,3,0,0,39,1
Sugar beet,0,2,0,2,1,1,0,0,1,0,4,27
