,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.0,0.4634146341463415,0.8461538461538461,0.5955056179775281,0.7777777777777778,0.1,0.5446428571428571,0.3076923076923077,0.7777777777777778,0.0,0.5,0.6363636363636364,0.5221052631578947,0.46244403791933936,0.4897807688161859
recall,0.0,0.9743589743589743,0.3793103448275862,0.8688524590163934,0.3181818181818182,0.020833333333333332,0.9384615384615385,0.7272727272727273,0.1346153846153846,0.0,0.66,0.5526315789473685,0.5221052631578947,0.464543179917927,0.5221052631578947
f1-score,0.0,0.628099173553719,0.5238095238095238,0.7066666666666667,0.45161290322580644,0.034482758620689655,0.6892655367231638,0.43243243243243246,0.22950819672131148,0.0,0.5689655172413792,0.5915492957746479,0.5221052631578947,0.4046993337307783,0.4453916118779614
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.5221052631578947,475.0,475.0
