,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,3,0,23,0,0,0,0,0
Charlock,0,33,6,0,0,0,0,0,0,0,0,0
Cleavers,0,15,14,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,59,0,0,1,0,0,0,1,0
Common wheat,0,0,4,2,8,3,2,0,2,0,0,1
Fat Hen,0,3,6,19,1,8,2,0,2,0,5,2
Loose Silky-bent,0,0,0,0,0,5,59,0,0,0,1,0
Maize,0,2,0,3,0,0,0,13,3,0,1,0
Scentless Mayweed,0,11,0,10,0,5,4,3,14,0,3,2
Shepherds Purse,0,2,0,5,0,0,0,3,3,2,8,0
Small-flowered Cranesbill,0,13,0,3,0,0,0,3,0,0,30,1
Sugar beet,0,1,1,5,1,8,0,0,1,0,2,19
