,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.0,0.4430379746835443,0.6538461538461539,0.7857142857142857,0.6086956521739131,0.48148148148148145,0.7195121951219512,0.5833333333333334,0.6086956521739131,1.0,0.5753424657534246,0.5869565217391305,0.6147368421052631,0.5872179763350942,0.6020974261152992
recall,0.0,0.8974358974358975,0.5862068965517241,0.9016393442622951,0.6363636363636364,0.2708333333333333,0.9076923076923077,0.6363636363636364,0.2692307692307692,0.08695652173913043,0.84,0.7105263157894737,0.6147368421052631,0.5619373882301836,0.6147368421052631
f1-score,0.0,0.5932203389830508,0.6181818181818182,0.8396946564885497,0.6222222222222223,0.3466666666666667,0.802721088435374,0.6086956521739131,0.37333333333333335,0.16,0.6829268292682927,0.6428571428571428,0.6147368421052631,0.5242099790508635,0.5681043162184146
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.6147368421052631,475.0,475.0
