,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,24,0,0,0,2,0,0,0,0,0,0,0
Charlock,0,38,1,0,0,0,0,0,0,0,0,0
Cleavers,0,20,9,0,0,0,0,0,0,0,0,0
Common Chickweed,1,0,0,57,0,1,1,0,0,0,1,0
Common wheat,9,0,2,3,4,3,0,0,0,0,1,0
Fat Hen,3,6,1,13,1,9,5,1,0,0,9,0
Loose Silky-bent,62,0,0,1,0,1,0,0,0,0,1,0
Maize,0,2,0,8,0,0,0,11,0,0,1,0
Scentless Mayweed,3,10,0,15,0,3,3,6,1,0,11,0
Shepherds Purse,0,1,0,6,0,0,0,10,0,0,6,0
Small-flowered Cranesbill,0,14,0,8,0,0,0,10,0,0,18,0
Sugar beet,2,0,0,12,0,14,1,0,0,0,9,0
