,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,4,1,21,0,0,0,0,0
Charlock,0,34,5,0,0,0,0,0,0,0,0,0
Cleavers,0,15,14,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,56,0,0,1,1,0,0,2,1
Common wheat,0,0,1,0,13,5,2,0,0,0,0,1
Fat Hen,0,7,3,11,2,9,4,1,1,0,5,5
Loose Silky-bent,0,0,0,0,0,4,60,0,0,0,1,0
Maize,0,2,0,3,0,0,0,14,2,0,1,0
Scentless Mayweed,0,10,0,4,0,5,3,8,13,1,4,4
Shepherds Purse,0,0,0,4,0,0,0,3,2,0,14,0
Small-flowered Cranesbill,0,6,0,0,0,0,0,0,1,0,43,0
Sugar beet,0,0,1,3,0,3,0,0,2,0,9,20
