,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,26,0,0,0,0,0
Charlock,0,12,0,18,0,0,0,0,0,0,9,0
Cleavers,0,6,0,11,0,1,0,0,1,0,10,0
Common Chickweed,0,0,0,58,0,0,3,0,0,0,0,0
Common wheat,0,0,0,5,0,0,17,0,0,0,0,0
Fat Hen,0,0,0,31,0,1,14,0,1,0,1,0
Loose Silky-bent,0,0,0,3,0,0,62,0,0,0,0,0
Maize,0,0,0,21,0,0,0,0,0,0,1,0
Scentless Mayweed,0,0,0,43,0,0,8,0,0,0,1,0
Shepherds Purse,0,0,0,23,0,0,0,0,0,0,0,0
Small-flowered Cranesbill,0,1,0,48,0,0,0,0,0,0,1,0
Sugar beet,0,0,0,28,0,0,10,0,0,0,0,0
