,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,3,0,23,0,0,0,0,0
Charlock,0,17,6,0,0,0,0,1,0,0,15,0
Cleavers,0,12,14,0,0,0,0,0,0,0,3,0
Common Chickweed,0,0,0,59,0,0,1,0,0,0,1,0
Common wheat,0,0,1,3,9,0,3,0,0,0,0,6
Fat Hen,0,2,1,15,0,2,10,0,0,0,11,7
Loose Silky-bent,0,0,0,1,0,0,62,0,0,0,0,2
Maize,0,0,0,9,0,0,0,10,1,0,2,0
Scentless Mayweed,0,1,0,16,0,1,7,1,4,0,15,7
Shepherds Purse,0,0,0,14,0,0,0,0,0,0,9,0
Small-flowered Cranesbill,0,0,0,25,0,0,0,1,0,0,24,0
Sugar beet,0,0,0,8,0,1,0,0,1,0,8,20
