,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,26,0,0,0,0,0
Charlock,0,35,0,0,0,0,0,1,0,0,3,0
Cleavers,0,25,3,0,0,0,0,0,1,0,0,0
Common Chickweed,0,0,0,58,0,0,2,0,0,0,1,0
Common wheat,0,1,0,4,1,0,14,0,1,0,0,1
Fat Hen,1,5,0,23,0,0,9,0,7,0,3,0
Loose Silky-bent,0,0,0,2,0,0,62,0,0,0,1,0
Maize,0,1,0,14,0,0,0,6,0,0,1,0
Scentless Mayweed,0,2,0,36,0,0,5,4,0,0,5,0
Shepherds Purse,0,1,0,16,0,0,0,4,0,0,2,0
Small-flowered Cranesbill,0,3,0,33,0,0,0,8,0,0,6,0
Sugar beet,0,0,0,32,0,1,3,0,2,0,0,0
