,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,1,25,0,0,0,0,0
Charlock,0,32,0,0,0,0,0,0,0,7,0,0
Cleavers,0,22,3,0,0,2,0,0,0,0,2,0
Common Chickweed,0,0,0,48,0,2,2,0,3,6,0,0
Common wheat,0,0,0,2,1,7,10,0,0,1,1,0
Fat Hen,0,3,0,8,0,15,7,0,5,7,3,0
Loose Silky-bent,0,0,0,0,0,4,60,0,0,1,0,0
Maize,0,1,0,7,0,0,0,2,1,11,0,0
Scentless Mayweed,0,2,0,14,0,6,4,0,4,22,0,0
Shepherds Purse,0,1,0,6,0,0,0,0,1,15,0,0
Small-flowered Cranesbill,0,2,0,7,0,1,0,0,2,37,1,0
Sugar beet,0,0,0,5,0,24,2,0,5,2,0,0
