,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,26,0,0,0,0,0
Charlock,0,4,0,0,0,0,0,12,23,0,0,0
Cleavers,0,1,0,0,0,0,1,4,23,0,0,0
Common Chickweed,0,0,0,0,0,0,22,0,39,0,0,0
Common wheat,0,0,0,0,0,0,14,0,8,0,0,0
Fat Hen,0,0,0,0,0,0,28,0,20,0,0,0
Loose Silky-bent,0,0,0,0,0,0,64,0,1,0,0,0
Maize,0,0,0,0,0,0,1,8,13,0,0,0
Scentless Mayweed,0,0,0,0,0,0,8,4,40,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,3,20,0,0,0
Small-flowered Cranesbill,0,1,0,0,0,0,2,4,43,0,0,0
Sugar beet,0,0,0,0,0,0,29,0,9,0,0,0
