,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,1,0,25,0,0,0,0,0
Charlock,0,33,5,0,0,0,0,0,0,0,1,0
Cleavers,0,16,12,0,0,0,0,0,0,0,1,0
Common Chickweed,0,0,0,55,0,0,1,2,0,0,2,1
Common wheat,0,0,3,0,4,0,7,0,4,0,0,4
Fat Hen,0,5,4,13,0,6,2,1,1,0,7,9
Loose Silky-bent,0,0,0,0,0,1,60,0,0,0,1,3
Maize,0,2,0,3,0,0,0,14,2,0,1,0
Scentless Mayweed,0,17,0,3,0,2,4,6,9,0,4,7
Shepherds Purse,0,6,0,3,0,0,0,5,2,0,7,0
Small-flowered Cranesbill,0,15,0,0,0,0,0,2,0,0,32,1
Sugar beet,0,1,1,4,0,0,0,0,1,0,5,26
