,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,25,0,0,0,1,0,0,0,0,0,0,0
Charlock,0,35,4,0,0,0,0,0,0,0,0,0
Cleavers,0,17,12,0,0,0,0,0,0,0,0,0
Common Chickweed,2,1,3,43,0,7,0,0,0,0,1,4
Common wheat,10,1,6,0,1,3,0,0,0,0,0,1
Fat Hen,8,6,14,3,1,13,0,0,0,0,2,1
Loose Silky-bent,59,1,0,0,1,4,0,0,0,0,0,0
Maize,0,4,1,5,0,0,0,2,0,2,5,3
Scentless Mayweed,5,19,1,6,0,6,0,0,0,0,11,4
Shepherds Purse,0,12,0,5,0,0,0,0,0,2,3,1
Small-flowered Cranesbill,0,21,1,1,0,0,0,1,0,2,18,6
Sugar beet,3,2,4,0,1,19,0,0,0,0,2,7
