,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,1,0,25,0,0,0,0,0
Charlock,0,38,0,0,0,0,0,0,0,0,1,0
Cleavers,0,17,11,0,0,0,0,0,0,0,1,0
Common Chickweed,0,0,0,53,0,0,1,5,0,0,2,0
Common wheat,0,0,1,3,7,2,7,0,0,0,0,2
Fat Hen,0,4,1,12,1,1,13,1,1,0,8,6
Loose Silky-bent,0,0,0,0,0,1,61,0,0,0,1,2
Maize,0,2,0,4,0,0,0,16,0,0,0,0
Scentless Mayweed,0,11,0,7,0,4,5,12,7,0,4,2
Shepherds Purse,0,1,0,4,0,0,0,11,0,0,7,0
Small-flowered Cranesbill,0,8,0,2,0,0,0,7,0,0,33,0
Sugar beet,0,1,0,4,0,2,0,0,1,0,9,21
