,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,26,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,19,10,0,0,0,0,0,0,0,0,0
Common Chickweed,0,1,3,38,0,1,3,7,0,0,3,5
Common wheat,0,0,3,0,2,1,15,0,0,0,0,1
Fat Hen,0,7,10,4,5,1,14,1,0,0,2,4
Loose Silky-bent,0,1,0,0,0,2,62,0,0,0,0,0
Maize,0,4,1,4,0,0,0,6,1,0,4,2
Scentless Mayweed,0,19,0,5,1,2,9,1,0,0,11,4
Shepherds Purse,0,13,0,2,0,0,0,3,0,0,5,0
Small-flowered Cranesbill,0,23,1,3,0,0,0,2,0,0,21,0
Sugar beet,0,2,4,0,4,8,10,0,2,0,4,4
