,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,3,0,23,0,0,0,0,0
Charlock,0,35,3,0,0,0,0,0,0,0,1,0
Cleavers,0,20,9,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,59,0,0,1,0,0,0,1,0
Common wheat,0,0,4,0,4,3,6,0,3,0,0,2
Fat Hen,0,8,3,16,1,3,5,2,1,0,5,4
Loose Silky-bent,0,0,0,0,1,2,60,0,0,0,1,1
Maize,0,2,0,3,0,0,0,14,2,0,1,0
Scentless Mayweed,0,15,0,5,0,2,4,7,10,0,4,5
Shepherds Purse,0,6,0,4,0,0,0,4,3,0,6,0
Small-flowered Cranesbill,0,15,0,0,0,0,0,1,0,0,34,0
Sugar beet,0,2,0,5,1,2,0,0,1,0,7,20
