,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,8,0,0,0,2,0,14,0,0,0,0,2
Charlock,0,35,4,0,0,0,0,0,0,0,0,0
Cleavers,0,18,10,0,0,0,0,0,0,0,0,1
Common Chickweed,0,1,5,29,1,0,3,6,5,0,1,10
Common wheat,4,0,6,1,1,0,5,0,0,0,0,5
Fat Hen,1,2,14,3,0,0,10,1,1,0,4,12
Loose Silky-bent,4,0,2,0,1,0,55,0,0,0,0,3
Maize,0,6,2,1,0,0,0,7,2,0,2,2
Scentless Mayweed,1,13,2,7,0,0,4,3,11,0,6,5
Shepherds Purse,0,13,0,1,0,0,0,1,5,0,3,0
Small-flowered Cranesbill,0,18,3,1,0,0,0,3,12,0,11,2
Sugar beet,0,0,0,1,0,0,14,0,6,0,0,17
