,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,5,0,21,0,0,0,0,0
Charlock,0,37,2,0,0,0,0,0,0,0,0,0
Cleavers,0,17,12,0,0,0,0,0,0,0,0,0
Common Chickweed,0,1,3,29,0,7,5,15,0,0,0,1
Common wheat,0,1,5,0,6,2,7,0,0,0,0,1
Fat Hen,0,6,14,3,4,7,8,2,0,0,1,3
Loose Silky-bent,0,1,0,0,3,1,59,0,0,0,0,1
Maize,0,3,0,0,0,1,0,15,2,0,0,1
Scentless Mayweed,0,17,1,4,1,3,6,8,3,0,4,5
Shepherds Purse,0,10,0,1,0,0,0,11,1,0,0,0
Small-flowered Cranesbill,0,19,1,1,0,0,0,20,4,0,4,1
Sugar beet,0,2,5,0,2,7,3,0,3,0,1,15
