,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,26,0,0,0,0,0
Charlock,0,20,3,0,0,0,0,0,0,0,16,0
Cleavers,0,10,2,0,0,0,0,0,9,0,8,0
Common Chickweed,0,0,0,49,0,0,1,0,10,0,1,0
Common wheat,0,0,0,1,0,0,16,0,5,0,0,0
Fat Hen,0,1,1,8,0,0,11,0,24,0,3,0
Loose Silky-bent,0,0,0,2,0,0,61,0,1,0,1,0
Maize,0,3,0,8,0,0,0,2,4,0,5,0
Scentless Mayweed,0,3,0,25,0,0,4,0,8,0,12,0
Shepherds Purse,0,0,0,6,0,0,0,0,4,0,13,0
Small-flowered Cranesbill,0,2,0,22,0,0,0,1,7,0,18,0
Sugar beet,0,0,0,10,0,0,3,0,25,0,0,0
