,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,4,1,21,0,0,0,0,0
Charlock,0,30,9,0,0,0,0,0,0,0,0,0
Cleavers,0,11,18,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,54,0,0,1,2,0,0,2,2
Common wheat,0,0,1,0,14,4,2,0,0,0,0,1
Fat Hen,0,3,8,10,3,6,7,1,2,0,2,6
Loose Silky-bent,0,0,0,0,1,4,59,0,0,0,1,0
Maize,0,2,0,2,0,0,0,14,2,0,2,0
Scentless Mayweed,0,12,0,2,0,6,4,4,15,1,4,4
Shepherds Purse,0,3,0,4,0,0,0,2,3,0,11,0
Small-flowered Cranesbill,0,11,0,0,0,0,0,0,1,0,37,1
Sugar beet,0,1,1,1,1,4,0,0,1,0,3,26
