,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,26,0,0,0,0,0
Charlock,0,0,0,3,0,16,0,20,0,0,0,0
Cleavers,0,0,0,1,0,18,5,5,0,0,0,0
Common Chickweed,0,0,0,4,0,42,14,1,0,0,0,0
Common wheat,0,0,0,0,0,2,20,0,0,0,0,0
Fat Hen,0,0,0,1,0,19,28,0,0,0,0,0
Loose Silky-bent,0,0,0,0,0,1,64,0,0,0,0,0
Maize,0,0,0,2,0,11,0,9,0,0,0,0
Scentless Mayweed,0,0,0,6,0,27,12,7,0,0,0,0
Shepherds Purse,0,0,0,2,0,14,0,7,0,0,0,0
Small-flowered Cranesbill,0,0,0,2,0,32,1,15,0,0,0,0
Sugar beet,0,0,0,0,0,18,20,0,0,0,0,0
