,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,1,0,2,0,23,0,0,0,0,0
Charlock,0,34,5,0,0,0,0,0,0,0,0,0
Cleavers,0,15,14,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,53,0,0,1,4,0,0,2,1
Common wheat,0,0,5,1,4,0,6,0,1,1,1,3
Fat Hen,0,6,8,14,1,0,4,2,0,1,1,11
Loose Silky-bent,0,0,0,1,0,0,58,0,0,0,1,5
Maize,0,2,0,3,0,0,0,15,2,0,0,0
Scentless Mayweed,0,18,0,7,0,0,4,5,10,2,1,5
Shepherds Purse,0,10,0,4,0,0,0,7,2,0,0,0
Small-flowered Cranesbill,0,18,0,2,0,0,0,2,0,0,27,1
Sugar beet,0,2,0,4,1,0,2,0,1,0,2,26
