,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,3,0,23,0,0,0,0,0
Charlock,0,37,2,0,0,0,0,0,0,0,0,0
Cleavers,0,18,11,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,43,0,0,1,12,0,0,3,2
Common wheat,0,0,4,0,8,0,3,0,2,0,2,3
Fat Hen,0,11,2,9,2,3,7,2,0,0,2,10
Loose Silky-bent,0,0,0,0,0,0,61,0,0,0,1,3
Maize,0,2,0,2,0,0,0,16,1,0,1,0
Scentless Mayweed,0,18,0,1,0,0,5,9,8,1,1,9
Shepherds Purse,0,8,0,1,0,0,0,11,1,0,2,0
Small-flowered Cranesbill,0,14,0,0,0,0,0,4,0,0,31,1
Sugar beet,0,2,1,1,0,0,1,0,1,0,4,28
