,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,2,0,0,0,0,0,24,0,0,0,0,0
Charlock,0,35,4,0,0,0,0,0,0,0,0,0
Cleavers,0,15,14,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,51,0,0,1,8,0,0,1,0
Common wheat,6,0,1,5,1,5,4,0,0,0,0,0
Fat Hen,0,8,1,21,0,3,3,4,4,0,0,4
Loose Silky-bent,0,0,0,2,0,1,61,0,0,0,1,0
Maize,0,2,0,4,0,0,0,15,1,0,0,0
Scentless Mayweed,0,9,0,13,0,0,3,6,21,0,0,0
Shepherds Purse,0,1,0,5,0,0,0,10,7,0,0,0
Small-flowered Cranesbill,0,12,0,9,0,0,0,12,3,0,14,0
Sugar beet,0,0,0,11,0,8,0,0,2,0,6,11
