,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,21,0,1,0,0,4
Charlock,0,0,0,0,0,0,0,8,31,0,0,0
Cleavers,0,0,0,0,0,0,2,0,27,0,0,0
Common Chickweed,0,0,0,0,0,0,0,20,41,0,0,0
Common wheat,0,0,0,0,0,0,16,0,4,0,0,2
Fat Hen,0,0,0,0,0,0,18,1,28,0,0,1
Loose Silky-bent,0,0,0,0,0,0,60,0,3,0,0,2
Maize,0,0,0,0,0,0,0,8,14,0,0,0
Scentless Mayweed,0,0,0,0,0,0,7,6,37,0,0,2
Shepherds Purse,0,0,0,0,0,0,0,11,12,0,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,18,32,0,0,0
Sugar beet,0,0,0,0,0,0,4,0,33,0,0,1
