,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,4,1,21,0,0,0,0,0
Charlock,0,35,4,0,0,0,0,0,0,0,0,0
Cleavers,0,14,15,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,55,0,0,1,1,0,0,3,1
Common wheat,0,0,1,0,14,4,1,0,1,0,0,1
Fat Hen,0,7,4,10,3,11,2,1,3,0,2,5
Loose Silky-bent,0,0,0,0,0,3,60,0,0,0,1,1
Maize,0,2,0,2,0,0,0,14,2,0,2,0
Scentless Mayweed,0,11,0,6,0,4,1,5,15,0,4,6
Shepherds Purse,0,1,0,3,0,0,0,2,3,1,13,0
Small-flowered Cranesbill,0,6,0,0,0,0,0,4,1,0,39,0
Sugar beet,0,2,0,2,1,2,0,0,1,0,7,23
