,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,2,0,24,0,0,0,0,0
Charlock,0,35,4,0,0,0,0,0,0,0,0,0
Cleavers,0,15,14,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,56,0,0,1,1,0,0,2,1
Common wheat,0,0,4,0,5,2,8,0,2,0,0,1
Fat Hen,0,6,6,11,0,4,6,1,0,0,7,7
Loose Silky-bent,0,0,0,0,1,0,61,0,0,0,1,2
Maize,0,2,0,4,0,0,0,13,1,0,2,0
Scentless Mayweed,0,17,0,2,0,1,7,8,5,0,6,6
Shepherds Purse,0,5,0,4,0,0,0,2,0,0,12,0
Small-flowered Cranesbill,0,11,0,0,0,0,0,3,0,0,35,1
Sugar beet,0,2,1,4,0,2,0,0,1,0,6,22
