,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,1,0,25,0,0,0,0,0
Charlock,0,32,5,0,0,0,0,0,0,0,2,0
Cleavers,0,19,9,0,0,0,0,0,0,0,1,0
Common Chickweed,0,0,0,58,0,0,1,1,0,0,1,0
Common wheat,0,0,3,0,4,2,9,1,3,0,0,0
Fat Hen,0,5,3,20,1,3,4,2,2,0,7,1
Loose Silky-bent,0,0,0,1,0,2,62,0,0,0,0,0
Maize,0,1,0,3,0,0,0,16,1,0,1,0
Scentless Mayweed,0,13,0,7,0,4,4,7,11,0,4,2
Shepherds Purse,0,4,0,4,0,0,0,5,2,0,8,0
Small-flowered Cranesbill,0,15,0,0,0,0,0,1,0,0,34,0
Sugar beet,0,2,0,8,1,7,0,1,0,0,6,13
