,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,1,0,25,0,0,0,0,0
Charlock,0,38,0,0,0,0,0,0,0,0,1,0
Cleavers,0,21,7,0,0,0,0,0,0,0,1,0
Common Chickweed,0,0,0,55,0,1,2,0,0,0,1,2
Common wheat,0,0,1,0,4,3,7,0,0,0,1,6
Fat Hen,0,6,0,8,0,3,6,0,0,0,10,15
Loose Silky-bent,0,0,0,0,0,0,61,0,0,0,1,3
Maize,0,1,0,7,0,0,0,1,0,0,13,0
Scentless Mayweed,0,6,0,6,0,2,6,0,0,0,24,8
Shepherds Purse,0,0,0,5,0,0,0,0,0,0,18,0
Small-flowered Cranesbill,0,6,0,2,0,0,0,0,0,0,41,1
Sugar beet,0,0,0,2,0,2,1,0,0,0,9,24
