,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.0,0.3516483516483517,0.45,0.5742574257425742,0.5714285714285714,0.16666666666666666,0.5904761904761905,0.47058823529411764,0.5789473684210527,0.0,0.53125,0.8125,0.5094736842105263,0.42481356747312704,0.46029910309753475
recall,0.0,0.8205128205128205,0.3103448275862069,0.9508196721311475,0.18181818181818182,0.0625,0.9538461538461539,0.7272727272727273,0.21153846153846154,0.0,0.68,0.34210526315789475,0.5094736842105263,0.43672984232196616,0.5094736842105263
f1-score,0.0,0.49230769230769234,0.3673469387755102,0.7160493827160493,0.27586206896551724,0.09090909090909091,0.7294117647058824,0.5714285714285714,0.30985915492957744,0.0,0.5964912280701754,0.4814814814814815,0.5094736842105263,0.38592894785746235,0.43827663680947493
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.5094736842105263,475.0,475.0
