,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.0,0.4358974358974359,0.56,0.7,0.5625,0.5,0.631578947368421,0.4375,0.5263157894736842,0.0,0.582089552238806,0.4909090909090909,0.56,0.45223256799061984,0.5013054225222415
recall,0.0,0.8717948717948718,0.4827586206896552,0.9180327868852459,0.4090909090909091,0.0625,0.9230769230769231,0.6363636363636364,0.19230769230769232,0.0,0.78,0.7105263157894737,0.56,0.49887097966653404,0.56
f1-score,0.0,0.5811965811965812,0.5185185185185185,0.7943262411347518,0.47368421052631576,0.1111111111111111,0.7499999999999999,0.5185185185185185,0.28169014084507044,0.0,0.6666666666666667,0.5806451612903225,0.56,0.43969642915065466,0.4886634412032684
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.56,475.0,475.0
