,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,26,0,0,0,0,0
Charlock,0,24,0,5,0,0,0,0,0,10,0,0
Cleavers,0,15,1,6,0,0,2,0,0,5,0,0
Common Chickweed,0,0,0,53,0,0,8,0,0,0,0,0
Common wheat,0,0,0,5,0,0,17,0,0,0,0,0
Fat Hen,0,1,0,22,0,0,22,0,0,3,0,0
Loose Silky-bent,0,0,0,0,0,0,64,0,0,1,0,0
Maize,0,2,0,15,0,0,0,5,0,0,0,0
Scentless Mayweed,0,4,0,36,0,0,9,0,0,3,0,0
Shepherds Purse,0,1,0,17,0,0,0,3,0,2,0,0
Small-flowered Cranesbill,0,5,0,35,0,0,0,3,0,7,0,0
Sugar beet,0,0,0,16,0,0,22,0,0,0,0,0
